===2023-05-22 10:02:03.195 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer Line:220 - Tomcat started on port(s): 8080 (http) with context path ''
===2023-05-22 10:02:03.371 INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] Line:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
===2023-05-22 10:02:03.371 INFO  org.springframework.web.servlet.DispatcherServlet Line:525 - Initializing Servlet 'dispatcherServlet'
===2023-05-22 10:02:03.373 INFO  org.springframework.web.servlet.DispatcherServlet Line:547 - Completed initialization in 2 ms
===2023-05-22 10:02:04.288 INFO  com.zaxxer.hikari.HikariDataSource Line:110 - HikariPool-1 - Starting...
===2023-05-22 10:02:04.675 INFO  com.zaxxer.hikari.HikariDataSource Line:123 - HikariPool-1 - Start completed.
===2023-05-22 10:41:41.388 INFO  com.zaxxer.hikari.HikariDataSource Line:350 - HikariPool-1 - Shutdown initiated...
===2023-05-22 10:41:41.393 INFO  com.zaxxer.hikari.HikariDataSource Line:352 - HikariPool-1 - Shutdown completed.
===2023-05-22 15:37:37.350 INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Line:376 - Bean 'shiroConfig' of type [com.exia.nocvsystem.config.ShiroConfig$$EnhancerBySpringCGLIB$$44a8f0b5] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
===2023-05-22 15:37:37.397 INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Line:376 - Bean 'mybatis-plus-com.baomidou.mybatisplus.autoconfigure.MybatisPlusProperties' of type [com.baomidou.mybatisplus.autoconfigure.MybatisPlusProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
===2023-05-22 15:37:37.399 INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Line:376 - Bean 'mybatisPlusConfig' of type [com.exia.nocvsystem.config.MybatisPlusConfig$$EnhancerBySpringCGLIB$$20fd3891] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
